image_name	GFP_hand	wt_hand
X401x491L-2m1	129	248
X401x491-5m1	119	223
X402x492-1m1	105	264
X402x492-1m2	58	279
X402x492-1m3	55	285
X403x492-1m4	81	229
X401x492-2m1	69	232
X401x492-3m1	82	206
X400x568AL-1m1	98	211
X400x568AL-4m1	126	199
X400x569AL-2m1	158	228
X400x569AL-2m2	23	28
X400x569AL-2m3	9	10
X400x569AL-2m4	5	2
X400x570AL-1m4	7	16
X400x570AL-1m3	19	34
X400x570AL-4m3	14	19
X400x570AL-4m2	73	213
X400x570AL-4m4	6	12
X400x570AL-4m1	3	22
X400x571A-2m1	149	187
X400x571B-1m1	115	64
X400x571B-1m2	172	203
X400x572A-3m1	63	185
X400x572B-4m1	35	172
X400x572C-5m1	96	275
X410x573A-1m1	44	90
X410x573B-5m1	33	66
X410x573B-5m2	24	60
X410x573C-6m1	35	70
X410x573C-7m1	0	149
X400x574-2m1	116	6
X400x575-1m1	181	17
X400x575-2m1	89	140
X400x576-4m1	198	6
X400x577-1m1	149	24
X400x577-3m1	166	10
X402x495B-1m1	171	316
X403x495B-1m2	130	300
X403x495B-1m3	87	274
X402x495B-2m1	151	458
X402x495B-5m1	147	291
X403x561-1m1	185	320
X400x561-3m1	77	67
X400x561-3m2	102	135
X400x561-3m3	79	135
X400x562B-2m1	66	82
X400x562B-2m2	121	171
X400x562B-2m3	115	159
X400x562B-2m4	75	147
X400x562B-3m1	146	230
X400x562B-3m2	133	241
X400x563B-1m1	14	21
X400x563B-1m2	21	22
X400x563B-1m5	116	127
X400x563B-1m3	2	3
X400x563B-3m1	143	121
X400x563B-3m2	123	129
X400x563B-3m3	144	142
X400x429-1m1	195	194
X402x429-2m1	156	178
X402x429-2m2	256	234
X402x429-2m3	180	197
X400x429L-1m1	160	166
X402x447-1m1	230	244
X402x447-3m1	286	290
X402x447-3m2	279	235
X402x447-3m3	167	163
X403x447-3m4	175	148
X402x447-4m1	287	273
X401x420-1m1	261	289
X401x420-3m1	204	247
X401x420-4m1	202	207
X401x423-1m1	135	171
X402x423-2m1	208	224
X402x423-2m2	255	259
X402x423-2m3	318	287
X402x432-1m1	188	176
X401x432-2m1	194	188
X402x432-2m2	183	149
X402x432-2m3	212	207
X403x432-5m1	260	269
X401x432L-3m1	242	235
X401x433-2m1	217	91
X403x433-3m1	268	264
X403x433-5m1	109	87
X403x433L-2m1	111	135
X402x433L-2m2	167	183
X403x435-1m1	148	141
X401x435-5m1	208	225
X402x435L-2m1	124	145
X402x435L-2m2	211	183
X402x435L-2m3	253	315
X401x466-1m1	234	226
X400x466-4m1	127	136
X402x466-5m1	209	216
X402x466-5m2	278	326
X402x466-5m3	194	202
X400x466L-2m1	178	155
X403x486-1m1	216	223
X403x486-1m2	187	188
X402x486-2m1	303	282
X402x486-2m2	205	202
X402x486-2m3	243	303
X402x486-3m1	186	165
X402x418-1m1	162	255
X402x418-1m2	238	270
X402x418-1m3	212	291
X400x418-2m1	177	214
X401x418-3m1	107	118
X401x421-1m1	100	88
X401x421-1m2	116	89
X402x421-1m3	125	123
X400x421-2m1	130	108
X402x421-4m1	172	259
X402x421-5m1	205	208
X402x421-5m2	180	176
X402x421-5m3	207	180
X400x422-1m1	161	150
X402x422-1m2	35	31
X402x422-2m1	62	47
X402x422-2m2	99	122
X402x422-2m3	97	142
X402x422-4m1	119	198
X401x422-4m2	190	224
X402x427-2m1	204	207
X402x427-2m2	270	283
X402x427-2m3	56	40
X402x427-3m1	229	234
X402x427L-1m1	126	145
X401x439-1m1	231	240
X402x439-1m2	198	166
X402x439-1m3	153	167
X403x439-3m1	207	192
X402x439-4m1	168	185
X402x440-1m1	205	246
X402x440-1m2	235	305
X402x440-1m3	166	203
X401x440-2m1	199	271
X401x440-3m1	125	168
X400x440L-2m1	123	150
X401x442-1m1	199	228
X401x442-2m1	142	165
X402x442-3m1	79	66
X402x442-3m2	199	206
X402x450-1m1	174	232
X402x450-2m2	201	208
X402x450-2m3	187	217
X402x450-2m1	248	253
X401x459-2m1	224	243
X402x459-3m1	239	349
X400x459-3m2	144	169
X402x459-3m3	153	191
X402x459L-1m1	68	98
X401x468A-1m1	148	181
X402x468A-2m1	217	190
X402x468A-2m2	150	179
X402x468A-2m3	151	174
X403x468A-2m4	278	238
X402x468A-5m1	180	156
X400x468AL-2m1	167	153
X401Ex471A-2m1	204	205
X402x475A-1m1	150	115
X402x475A-1m2	199	178
X402x475A-1m3	197	192
X401x475A-3m1	226	242
X403x475A-5m1	196	220
X401x481A-1m1	185	218
X402x481A-2m1	145	147
X403x481A-3m1	120	117
X400x481AL-1m1	134	201
X400x481AL-1m2	58	76
X400x481AL-1m3	133	186
X402x487A-1m1	208	194
