"image_name"	"GFP_imagej"	"WT_imagej"	"GFP_hand"	"WT_hand"	"percent_GFP_imagej"	"percent_GFP_hand"
"X401x491L-2"	129	248	132	251	34.2175066312997	34.4647519582245
"X401x491-5"	119	223	116	230	34.7953216374269	33.5260115606936
"X402x492-1"	105	264	104	266	28.4552845528455	28.1081081081081
"X403x492-1"	81	229	80	230	26.1290322580645	25.8064516129032
"X401x492-2"	69	232	68	233	22.9235880398671	22.5913621262458
"X400x569AL-2"	158	228	163	229	40.9326424870466	41.5816326530612
"X400x570AL-1"	56	127	58	126	30.6010928961749	31.5217391304348
"X400x570AL-4"	73	213	79	228	25.5244755244755	25.7328990228013
"X400x571A-2"	149	187	149	176	44.3452380952381	45.8461538461538
"X400x571B-1"	172	203	168	200	45.8666666666667	45.6521739130435
"X400x575-2"	89	140	91	141	38.8646288209607	39.2241379310345
"X402x495B-1"	171	316	168	314	35.1129363449692	34.8547717842324
"X403x495B-1"	130	300	129	304	30.2325581395349	29.7921478060046
"X403x495B-1"	87	274	87	273	24.0997229916898	24.1666666666667
"X402x495B-2"	151	458	151	458	24.7947454844007	24.7947454844007
"X402x495B-5"	147	291	141	288	33.5616438356164	32.8671328671329
"X400x561-3"	79	135	78	134	36.9158878504673	36.7924528301887
"X400x562B-2"	75	147	76	148	33.7837837837838	33.9285714285714
"X400x429-1"	195	194	201	196	50.1285347043702	50.6297229219144
"X402x429-2"	156	178	156	180	46.7065868263473	46.4285714285714
"X402x429-2"	256	234	261	237	52.2448979591837	52.4096385542169
"X402x429-2"	180	197	178	198	47.7453580901857	47.3404255319149
"X400x429L-1"	160	166	161	166	49.079754601227	49.2354740061162
"X402x447-1"	230	244	229	244	48.5232067510549	48.4143763213531
"X402x447-3"	286	290	285	291	49.6527777777778	49.4791666666667
"X402x447-3"	279	235	280	236	54.2801556420233	54.2635658914729
"X402x447-3"	167	163	169	164	50.6060606060606	50.7507507507508
"X403x447-3"	175	148	176	146	54.1795665634675	54.6583850931677
"X402x447-4"	287	273	288	273	51.25	51.3368983957219
