name	female	male	number_of_GFP_kernels	number_of_WT_kernels	year	cross_type	family	category	allele	FPKM	PCR_confirmed
X402x484-3m3	402	484-3m3	202	208	2018	male	484	vegetative_cell_high	tdsgR98H09	369.498	TRUE
X481AL-1x402	481AL-1	402	39	53	2018	female	481	vegetative_cell_high	tdsgR92F08	330.685	TRUE
X402x427-2m3	402	427-2m3	59	40	2018	male	427	sperm_cell_high	tdsgR106G12	126.303	TRUE
X402x426-1m3	402	426-1m3	234	239	2018	male	426	seedling_only	tdsgR106F04	103.9473	TRUE
X402x423-2m3	402	423-2m3	326	283	2018	male	423	vegetative_cell_high	tdsgR103E04	35.5349	TRUE
X402x435L-2m3	402	435L-2m3	251	290	2018	male	435	vegetative_cell_high	tdsgR27E01	47.4902	TRUE
X481A-1x402	481A-1	402	67	72	2018	female	481	vegetative_cell_high	tdsgR92F08	330.685	TRUE
X427-3x402	427-3	402	155	185	2018	female	427	sperm_cell_high	tdsgR106G12	126.303	TRUE
X474-2x402	474-2	402	145	195	2018	female	474	sperm_cell_high	tdsgR87A03	51.2846	TRUE
X402x447-3m2	402	447-3m2	278	234	2018	male	447	seedling_only	tdsgR46C04	106.187666666667	TRUE
X401x421-1m2	401	421-1m2	126	96	2018	male	421	vegetative_cell_high	tdsgR101B03	4371.01	TRUE
X401Ex471A-2m1	401E	471A-2m1	216	213	2018	male	471	vegetative_cell_high	tdsgR83B04	90.3365	TRUE
X445-1x402	445-1	402	182	176	2018	female	445	vegetative_cell_high	tdsgR41F01	159.129	TRUE
X402x441-2m1	402	441-2m1	287	264	2018	male	441	sperm_cell_high	tdsgR35A03	160.436	TRUE
X498-2x402	498-2	402	250	206	2018	female	498	vegetative_cell_high	tdsgR107C12	885.729	TRUE
X402x466-5m2	402	466-5m2	273	328	2018	male	466	vegetative_cell_high	tdsgR77F09	33.3009	TRUE
X402x440-1m1	402	440-1m1	215	254	2018	male	440	vegetative_cell_high	tdsgR33F03	304.574	TRUE
X403x486-1m2	403	486-1m2	191	193	2018	male	486	vegetative_cell_high	tdsgR04G10	60.916	TRUE
X401x488-1m1	401	488-1m1	252	255	2018	male	488	vegetative_cell_high	tdsgR34C11	885.729	TRUE
X402x447-4m1	402	447-4m1	291	276	2018	male	447	seedling_only	tdsgR46C04	106.187666666667	TRUE
X491L-2x402	491L-2	402	239	273	2018	female	491	sperm_cell_high	tdsgR82A03	392.156	TRUE
X402x456-2m2	402	456-2m2	228	261	2018	male	456	seedling_only	tdsgR63F09	38.2865666666667	TRUE
X447-1x402	447-1	402	131	128	2018	female	447	seedling_only	tdsgR46C04	106.187666666667	TRUE
X401x469A-2m1	401	469A-2m1	240	217	2018	male	469	vegetative_cell_high	tdsgR81G05	64.6735	TRUE
X403x433-3m1	403	433-3m1	271	267	2018	male	433	vegetative_cell_high	tdsgR24D03	165.028	TRUE
X401x415-1m1	401	415-1m1	158	171	2018	male	415	vegetative_cell_high	tdsgR01G01	176.627	TRUE
X402x451A-4m2	402	451A-4m2	256	229	2018	male	451	sperm_cell_high	tdsgR53C03	48.0851	TRUE
X401x484-4m3	401	484-4m3	230	255	2018	male	484	vegetative_cell_high	tdsgR98H09	369.498	TRUE
X498L-2x403	498L-2	403	271	233	2018	female	498	vegetative_cell_high	tdsgR107C12	885.729	TRUE
X403x445-4m1	403	445-4m1	246	238	2018	male	445	vegetative_cell_high	tdsgR41F01	159.129	TRUE
X415-4x402	415-4	402	97	88	2018	female	415	vegetative_cell_high	tdsgR01G01	176.627	TRUE
X402x462A-3m2	402	462A-3m2	251	231	2018	male	462	vegetative_cell_high	tdsgR72D11	90.5725	TRUE
X418-1x402	418-1	402	107	97	2018	female	418	vegetative_cell_high	tdsgR04A02	52.5708	TRUE
X403x475A-5m1	403	475A-5m1	199	231	2018	male	475	vegetative_cell_high	tdsgR88B08	720.42	TRUE
X402x456L-1m1	402	456L-1m1	301	296	2018	male	456	seedling_only	tdsgR63F09	38.2865666666667	TRUE
X401x433-2m1	401	433-2m1	230	98	2018	male	433	vegetative_cell_high	tdsgR24D03	165.028	TRUE
X402x454-3m1	402	454-3m1	170	171	2018	male	454	sperm_cell_high	tdsgR60D10	76.6179	TRUE
X429-2x402	429-2	402	74	79	2018	female	429	seedling_only	tdsgR12H07	37.5026	TRUE
X401x481A-1m1	401	481A-1m1	191	226	2018	male	481	vegetative_cell_high	tdsgR92F08	330.685	TRUE
X490-3x402	490-3	402	179	198	2018	female	490	vegetative_cell_high	tdsgR49F11	4175.48	TRUE
X402x434-1m1	402	434-1m1	301	240	2018	male	434	sperm_cell_high	tdsgR26G07	118.053	TRUE
X403x474-1m1	403	474-1m1	96	101	2018	male	474	sperm_cell_high	tdsgR87A03	51.2846	TRUE
X401x468A-1m1	401	468A-1m1	140	229	2018	male	468	vegetative_cell_high	tdsgR81E02	4371.01	TRUE
X402x469A-3m1	402	469A-3m1	296	267	2018	male	469	vegetative_cell_high	tdsgR81G05	64.6735	TRUE
X402x475A-1m3	402	475A-1m3	200	192	2018	male	475	vegetative_cell_high	tdsgR88B08	720.42	TRUE
X402x433L-2m2	402	433L-2m2	174	188	2018	male	433	vegetative_cell_high	tdsgR24D03	165.028	TRUE
X402x490-5m1	402	490-5m1	263	284	2018	male	490	vegetative_cell_high	tdsgR49F11	4175.48	TRUE
X489-4x402	489-4	402	69	70	2018	female	489	vegetative_cell_high	tdsgR45E04	32.8555	TRUE
X402x421-5m3	402	421-5m3	210	177	2018	male	421	vegetative_cell_high	tdsgR101B03	4371.01	TRUE
X437-1x402	437-1	402	121	118	2018	female	437	sperm_cell_high	tdsgR31B01	46.2179	TRUE
X468A-2x402	468A-2	402	171	156	2018	female	468	vegetative_cell_high	tdsgR81E02	4371.01	TRUE
X401x485-3m1	401	485-3m1	195	211	2018	male	485	vegetative_cell_high	tdsgR99B02	56.2152	TRUE
X451A-5x402	451A-5	402	139	137	2018	female	451	sperm_cell_high	tdsgR53C03	48.0851	TRUE
X440-1x402	440-1	402	122	117	2018	female	440	vegetative_cell_high	tdsgR33F03	304.574	TRUE
X401x423-1m1	401	423-1m1	139	195	2018	male	423	vegetative_cell_high	tdsgR103E04	35.5349	TRUE
X402x480A-4m2	402	480A-4m2	290	259	2018	male	480	vegetative_cell_high	tdsgR92A10	132.288	TRUE
X485-5x402	485-5	402	137	138	2018	female	485	vegetative_cell_high	tdsgR99B02	56.2152	TRUE
X454-3x402	454-3	402	70	81	2018	female	454	sperm_cell_high	tdsgR60D10	76.6179	TRUE
X451A-1x402	451A-1	402	75	86	2018	female	451	sperm_cell_high	tdsgR53C03	48.0851	TRUE
X459-2x402	459-2	402	173	144	2018	female	459	vegetative_cell_high	tdsgR67C09	21028.2	TRUE
X401x420-4m1	401	420-4m1	200	210	2018	male	420	vegetative_cell_high	tdsgR08A07	353.673	TRUE
X401x491L-2m1	401	491L-2m1	137	256	2018	male	491	sperm_cell_high	tdsgR82A03	392.156	TRUE
X454L-1x402	454L-1	402	107	95	2018	female	454	sperm_cell_high	tdsgR60D10	76.6179	TRUE
X427L-1x402	427L-1	402	135	144	2018	female	427	sperm_cell_high	tdsgR106G12	126.303	TRUE
X400x485L-3m2	400	485L-3m2	141	158	2018	male	485	vegetative_cell_high	tdsgR99B02	56.2152	TRUE
X492-3x402	492-3	402	292	266	2018	female	492	sperm_cell_high	tdsgR84A12	392.156	TRUE
X401x418-3m1	401	418-3m1	107	126	2018	male	418	vegetative_cell_high	tdsgR04A02	52.5708	TRUE
X403x498-3m1	403	498-3m1	221	258	2018	male	498	vegetative_cell_high	tdsgR107C12	885.729	TRUE
X402x437-1m3	402	437-1m3	82	84	2018	male	437	sperm_cell_high	tdsgR31B01	46.2179	TRUE
X402x432-2m3	402	432-2m3	212	217	2018	male	432	vegetative_cell_high	tdsgR23D05	31.1667	TRUE
X401x480A-3m1	401	480A-3m1	265	247	2018	male	480	vegetative_cell_high	tdsgR92A10	132.288	TRUE
X403x437-2m1	403	437-2m1	111	128	2018	male	437	sperm_cell_high	tdsgR31B01	46.2179	TRUE
X401x442-1m1	401	442-1m1	201	236	2018	male	442	vegetative_cell_high	tdsgR35A08	162	TRUE
X402x422-2m2	402	422-2m2	101	125	2018	male	422	vegetative_cell_high	tdsgR102H01	2786.36	TRUE
X401x435-5m1	401	435-5m1	225	233	2018	male	435	vegetative_cell_high	tdsgR27E01	47.4902	TRUE
X400x429-1m1	400	429-1m1	199	205	2018	male	429	seedling_only	tdsgR12H07	37.5026	TRUE
X402x451A-5m2	402	451A-5m2	254	271	2018	male	451	sperm_cell_high	tdsgR53C03	48.0851	TRUE
X400x429L-1m1	400	429L-1m1	162	174	2018	male	429	seedling_only	tdsgR12H07	37.5026	TRUE
X400x485-5m1	400	485-5m1	197	204	2018	male	485	vegetative_cell_high	tdsgR99B02	56.2152	TRUE
X402x418-1m3	402	418-1m3	215	294	2018	male	418	vegetative_cell_high	tdsgR04A02	52.5708	TRUE
X442-1x402	442-1	402	219	239	2018	female	442	vegetative_cell_high	tdsgR35A08	162	TRUE
X401x437-3m1	401	437-3m1	187	217	2018	male	437	sperm_cell_high	tdsgR31B01	46.2179	TRUE
X485L-3x402	485L-3	402	142	151	2018	female	485	vegetative_cell_high	tdsgR99B02	56.2152	TRUE
X402x489-3m2	402	489-3m2	256	240	2018	male	489	vegetative_cell_high	tdsgR45E04	32.8555	TRUE
X434-1x402	434-1	402	44	43	2018	female	434	sperm_cell_high	tdsgR26G07	118.053	TRUE
X401x491-1m1	401	491-1m1	102	243	2018	male	491	sperm_cell_high	tdsgR82A03	392.156	TRUE
X402x450-2m1	402	450-2m1	249	260	2018	male	450	vegetative_cell_high	tdsgR52E07	153.004	TRUE
X402x462A-3m4	402	462A-3m4	217	186	2018	male	462	vegetative_cell_high	tdsgR72D11	90.5725	TRUE
X489-5x402	489-5	402	139	157	2018	female	489	vegetative_cell_high	tdsgR45E04	32.8555	TRUE
X401x474-4m2	401	474-4m2	278	251	2018	male	474	sperm_cell_high	tdsgR87A03	51.2846	TRUE
X400x417-3m1	400	417-3m1	168	170	2018	male	417	vegetative_cell_high	tdsgR02D02	54.9727	TRUE
X402x462A-3m3	402	462A-3m3	304	308	2018	male	462	vegetative_cell_high	tdsgR72D11	90.5725	TRUE
X422-2x402	422-2	402	90	92	2018	female	422	vegetative_cell_high	tdsgR102H01	2786.36	TRUE
X459-3x402	459-3	402	126	121	2018	female	459	vegetative_cell_high	tdsgR67C09	21028.2	TRUE
X434L-1x402	434L-1	402	96	86	2018	female	434	sperm_cell_high	tdsgR26G07	118.053	TRUE
X402x494-1m2	402	494-1m2	304	276	2018	male	494	sperm_cell_high	tdsgR91F11	220.451	TRUE
X402x456-2m3	402	456-2m3	69	72	2018	male	456	seedling_only	tdsgR63F09	38.2865666666667	TRUE
X451A-4x402	451A-4	402	83	101	2018	female	451	sperm_cell_high	tdsgR53C03	48.0851	TRUE
X401x484-3m1	401	484-3m1	197	266	2018	male	484	vegetative_cell_high	tdsgR98H09	369.498	TRUE
X402x487A-1m1	402	487A-1m1	213	201	2018	male	487	vegetative_cell_high	tdsgR32B05	32.8555	TRUE
X402x481A-2m1	402	481A-2m1	151	147	2018	male	481	vegetative_cell_high	tdsgR92F08	330.685	TRUE
X401x442-2m1	401	442-2m1	143	164	2018	male	442	vegetative_cell_high	tdsgR35A08	162	TRUE
X402x486-2m1	402	486-2m1	301	303	2018	male	486	vegetative_cell_high	tdsgR04G10	60.916	TRUE
X402x468A-2m1	402	468A-2m1	205	203	2018	male	468	vegetative_cell_high	tdsgR81E02	4371.01	TRUE
X451AL-1x402	451AL-1	402	219	80	2018	female	451	sperm_cell_high	tdsgR53C03	48.0851	TRUE
X402x466-5m3	402	466-5m3	201	200	2018	male	466	vegetative_cell_high	tdsgR77F09	33.3009	TRUE
X402x451A-1m1	402	451A-1m1	222	195	2018	male	451	sperm_cell_high	tdsgR53C03	48.0851	TRUE
X402x474-4m1	402	474-4m1	263	242	2018	male	474	sperm_cell_high	tdsgR87A03	51.2846	TRUE
X492-2x402	492-2	402	255	279	2018	female	492	sperm_cell_high	tdsgR84A12	392.156	TRUE
X429L-1x402	429L-1	402	160	145	2018	female	429	seedling_only	tdsgR12H07	37.5026	TRUE
X400x498L-2m1	400	498L-2m1	173	213	2018	male	498	vegetative_cell_high	tdsgR107C12	885.729	TRUE
X402x456L-3m1	402	456L-3m1	140	145	2018	male	456	seedling_only	tdsgR63F09	38.2865666666667	TRUE
X402x450-1m1	402	450-1m1	178	233	2018	male	450	vegetative_cell_high	tdsgR52E07	153.004	TRUE
X402x488-3m2	402	488-3m2	295	293	2018	male	488	vegetative_cell_high	tdsgR34C11	885.729	TRUE
X402x447-3m3	402	447-3m3	171	180	2018	male	447	seedling_only	tdsgR46C04	106.187666666667	TRUE
X401x490-1m1	401	490-1m1	270	301	2018	male	490	vegetative_cell_high	tdsgR49F11	4175.48	TRUE
X400x421-2m1	400	421-2m1	129	114	2018	male	421	vegetative_cell_high	tdsgR101B03	4371.01	TRUE
X402x484-3m2	402	484-3m2	262	272	2018	male	484	vegetative_cell_high	tdsgR98H09	369.498	TRUE
X441L-3x402	441L-3	402	122	132	2018	female	441	sperm_cell_high	tdsgR35A03	160.436	TRUE
X402x427-2m2	402	427-2m2	272	281	2018	male	427	sperm_cell_high	tdsgR106G12	126.303	TRUE
X456-2x402	456-2	402	55	71	2018	female	456	seedling_only	tdsgR63F09	38.2865666666667	TRUE
X402x423-2m2	402	423-2m2	265	267	2018	male	423	vegetative_cell_high	tdsgR103E04	35.5349	TRUE
X402x426-1m2	402	426-1m2	211	229	2018	male	426	seedling_only	tdsgR106F04	103.9473	TRUE
X402x458-1m1	402	458-1m1	248	249	2018	male	458	seedling_only	tdsgR65E02	234.641	TRUE
X402x435L-2m2	402	435L-2m2	223	214	2018	male	435	vegetative_cell_high	tdsgR27E01	47.4902	TRUE
X439-1x402	439-1	402	102	89	2018	female	439	vegetative_cell_high	tdsgR31H05	196.9	TRUE
X445-4x402	445-4	402	168	166	2018	female	445	vegetative_cell_high	tdsgR41F01	159.129	TRUE
X402x489-3m3	402	489-3m3	246	241	2018	male	489	vegetative_cell_high	tdsgR45E04	32.8555	TRUE
X494-2x402	494-2	402	190	183	2018	female	494	sperm_cell_high	tdsgR91F11	220.451	TRUE
X402x422-2m3	402	422-2m3	102	141	2018	male	422	vegetative_cell_high	tdsgR102H01	2786.36	TRUE
X488-1x402T	488-1	402T	265	249	2018	female	488	vegetative_cell_high	tdsgR34C11	885.729	TRUE
X402x418-1m2	402	418-1m2	249	269	2018	male	418	vegetative_cell_high	tdsgR04A02	52.5708	TRUE
X427-2x402	427-2	402	158	156	2018	female	427	sperm_cell_high	tdsgR106G12	126.303	TRUE
X450-2x402	450-2	402	163	208	2018	female	450	vegetative_cell_high	tdsgR52E07	153.004	TRUE
X402x432-2m2	402	432-2m2	192	164	2018	male	432	vegetative_cell_high	tdsgR23D05	31.1667	TRUE
X402x437-1m2	402	437-1m2	193	206	2018	male	437	sperm_cell_high	tdsgR31B01	46.2179	TRUE
X498-3x402	498-3	402	160	177	2018	female	498	vegetative_cell_high	tdsgR107C12	885.729	TRUE
X402x486-3m1	402	486-3m1	189	173	2018	male	486	vegetative_cell_high	tdsgR04G10	60.916	TRUE
X426L-2x402	426L-2	402	85	95	2018	female	426	seedling_only	tdsgR106F04	103.9473	TRUE
X402x427L-1m1	402	427L-1m1	128	142	2018	male	427	sperm_cell_high	tdsgR106G12	126.303	TRUE
X401x480A-1m1	401	480A-1m1	243	205	2018	male	480	vegetative_cell_high	tdsgR92A10	132.288	TRUE
X447-4x402	447-4	402	146	138	2018	female	447	seedling_only	tdsgR46C04	106.187666666667	TRUE
X402x429-2m1	402	429-2m1	156	183	2018	male	429	seedling_only	tdsgR12H07	37.5026	TRUE
X402x449A-1m1	402	449A-1m1	159	177	2018	male	449	seedling_only	tdsgR52B09	96.7292666666667	TRUE
X402x480A-4m3	402	480A-4m3	180	163	2018	male	480	vegetative_cell_high	tdsgR92A10	132.288	TRUE
X462A-1x402	462A-1	402	117	128	2018	female	462	vegetative_cell_high	tdsgR72D11	90.5725	TRUE
X401x432-2m1	401	432-2m1	206	208	2018	male	432	vegetative_cell_high	tdsgR23D05	31.1667	TRUE
X402x421-5m2	402	421-5m2	183	178	2018	male	421	vegetative_cell_high	tdsgR101B03	4371.01	TRUE
X456L-1x402	456L-1	402	160	145	2018	female	456	seedling_only	tdsgR63F09	38.2865666666667	TRUE
X403x415-3m1	403	415-3m1	162	166	2018	male	415	vegetative_cell_high	tdsgR01G01	176.627	TRUE
X400x466L-2m1	400	466L-2m1	187	159	2018	male	466	vegetative_cell_high	tdsgR77F09	33.3009	TRUE
X400x481AL-1m3	400	481AL-1m3	137	190	2018	male	481	vegetative_cell_high	tdsgR92F08	330.685	TRUE
X403x454-3m4	403	454-3m4	237	218	2018	male	454	sperm_cell_high	tdsgR60D10	76.6179	TRUE
X402x475A-1m2	402	475A-1m2	205	184	2018	male	475	vegetative_cell_high	tdsgR88B08	720.42	TRUE
X403x481A-3m1	403	481A-3m1	120	120	2018	male	481	vegetative_cell_high	tdsgR92F08	330.685	TRUE
X402x459-3m1	402	459-3m1	244	350	2018	male	459	vegetative_cell_high	tdsgR67C09	21028.2	TRUE
X400x468AL-2m1	400	468AL-2m1	169	161	2018	male	468	vegetative_cell_high	tdsgR81E02	4371.01	TRUE
X403x447-3m4	403	447-3m4	182	150	2018	male	447	seedling_only	tdsgR46C04	106.187666666667	TRUE
X402x418-1m1	402	418-1m1	165	255	2018	male	418	vegetative_cell_high	tdsgR04A02	52.5708	TRUE
X422-4x402	422-4	402	194	202	2018	female	422	vegetative_cell_high	tdsgR102H01	2786.36	TRUE
X401x420-1m1	401	420-1m1	266	290	2018	male	420	vegetative_cell_high	tdsgR08A07	353.673	TRUE
X402x450-2m3	402	450-2m3	190	220	2018	male	450	vegetative_cell_high	tdsgR52E07	153.004	TRUE
X480A-4x402	480A-4	402	172	169	2018	female	480	vegetative_cell_high	tdsgR92A10	132.288	TRUE
X468A-5x402	468A-5	402	161	148	2018	female	468	vegetative_cell_high	tdsgR81E02	4371.01	TRUE
X489-3x402	489-3	402	225	231	2018	female	489	vegetative_cell_high	tdsgR45E04	32.8555	TRUE
X458-1x402	458-1	402	112	126	2018	female	458	seedling_only	tdsgR65E02	234.641	TRUE
X401x474-2m2	401	474-2m2	162	190	2018	male	474	sperm_cell_high	tdsgR87A03	51.2846	TRUE
X468A-1x402	468A-1	402	143	160	2018	female	468	vegetative_cell_high	tdsgR81E02	4371.01	TRUE
X437-2x402	437-2	402	202	216	2018	female	437	sperm_cell_high	tdsgR31B01	46.2179	TRUE
X402x437-1m1	402	437-1m1	95	85	2018	male	437	sperm_cell_high	tdsgR31B01	46.2179	TRUE
X441-2x402	441-2	402	190	175	2018	female	441	sperm_cell_high	tdsgR35A03	160.436	TRUE
X415L-1x402	415L-1	402	143	151	2018	female	415	vegetative_cell_high	tdsgR01G01	176.627	TRUE
X402x429-2m2	402	429-2m2	258	241	2018	male	429	seedling_only	tdsgR12H07	37.5026	TRUE
X401x434-3m1	401	434-3m1	162	150	2018	male	434	sperm_cell_high	tdsgR26G07	118.053	TRUE
X402x449A-1m2	402	449A-1m2	172	145	2018	male	449	seedling_only	tdsgR52B09	96.7292666666667	TRUE
X400x422-1m1	400	422-1m1	162	152	2018	male	422	vegetative_cell_high	tdsgR102H01	2786.36	TRUE
X401x466-1m1	401	466-1m1	238	228	2018	male	466	vegetative_cell_high	tdsgR77F09	33.3009	TRUE
X400x434L-1m1	400	434L-1m1	128	172	2018	male	434	sperm_cell_high	tdsgR26G07	118.053	TRUE
X475A-5x402	475A-5	402	133	129	2018	female	475	vegetative_cell_high	tdsgR88B08	720.42	TRUE
X468AL-2x402	468AL-2	402	139	166	2018	female	468	vegetative_cell_high	tdsgR81E02	4371.01	TRUE
